song.id,title,duration,latitude,longitude,location,loudness,release.name,tempo,terms,year
SOZVMJI12AB01808AF,Synthetic Dream,165.69424,37.15735675,-63.93335787,Not available,-6.787,Whatever Happened To Boredom?,138.331,indietronica,0
SOWTBJW12AC468AC6E,Broken-Down Merry-Go-Round,151.84934,34.31109,-94.02978,"Mineola, AR",-15.221,1942-1952 Jimmy Wakely,86.186,classic country,0
SOBEBDG12A58A76D60,Kassie Jones,220.78649,38.8991,-77.029,Washington,-8.514,All The Good Times,110.382,electric blues,0
SOZCTXZ12AB0182364,Setanta matins,269.58322,49.80388,15.47491,Dubai UAE,-8.05,Un cafe_ setanta matins,111.874,uk garage,0
SOBBUGU12A8C13E95D,Setting Fire to Sleeping Giants,207.77751,40.82624,-74.47995,"Morris Plains, NJ",-4.264,Miss Machine,166.862,math-core,2004
SOBLGCN12AB0183212,James (Hold The Ladder Steady),124.86485,37.83721,-94.35868,"Nevada, MO",-12.332,Sue Thompson - Her Very Best,137.522,pop rock,1985
SOPSWQW12A6D4F8781,Made Like This (Live),225.09669,37.15735675,-63.93335787,Not available,-5.908,Live,164.672,post-grunge,0
SOZQDIU12A58A7BCF6,Superconfidential,338.31138,37.15735675,-63.93335787,Not available,-6.486,Strictly Confidential,125.006,breakcore,0
SONYPOM12A8C13B2D7,I Think My Wife Is Running Around On Me (Taco Hell),186.48771,32.67828,-83.22295,Georgia,-4.516,The Real Twang Thang,90.022,filk,2005
SOBZBAZ12A6D4F8742,Spanish Grease,168.25424,40.79195,-73.94512,"New York, NY [Spanish Harlem]",-9.616,Willie Bobo's Finest Hour,127.025,latin jazz,1997
SOVYKGO12AB0187199,Crazy Mixed Up World,156.39465,40.73197,-74.17418,"Newark, NJ",-18.051,Shake A Hand,95.957,jump blues,1961
SOGNCJP12A58A80271,Do You Finally Need A Friend,342.56934,41.88415,-87.63241,Chicago,-11.939,Occasional Rain,110.189,soul jazz,1972
SOLLHMX12AB01846DC,The Emperor Falls,484.62322,27.94017,-82.32547,Brandon,-15.335,The Emperor Falls,138.007,disco,0
SOYTPEP12AB0180E7B,Twist and Shout,164.80608,40.7038,-73.83168,"Queens, NY",-10.922,Best of The Shangri-Las,130.1,doo-wop,1964
SOGXHEG12AB018653E,It Makes No Difference Now,133.32853,30.08615,-94.10158,"Beaumont, TX",-9.983,20 Of Her Best,160.839,classic country,1992
SOOLYAZ12A6701F4A6,Laws Patrolling (Album Version),173.66159,37.15735675,-63.93335787,"Houston, TX",-7.762,Who Is Mike Jones?,41.993,rap,0
SOGOSOV12AF72A285E,A?DA3nde va Chichi?,313.12934,37.15735675,-63.93335787,Not available,-9.512,Tibiri Tabara,189.646,charanga,1997
SOJXVAH12A8C139700,"Barking Dogs (From ""Piouhgd"")",450.84689,29.42449,-98.49462,"San Antonio, TX",-9.063,Piouhgd + Widowermaker!,130.586,noise rock,0
SOVXMTN12A8C135A18,OUTE ENA EFHARISTO,303.09832,37.15735675,-63.93335787,Not available,-8.879,Profities,128.292,dance pop,0
SORSECL12AB0182267,Midnight Swim,128.83546,37.15735675,-63.93335787,Not available,-17.699,Cracks,90.932,orchestra,0
SOOGFBZ12AC3DF7FF2,In A Subtle Way,456.30649,37.15735675,-63.93335787,Not available,-19.478,Pieces Of Time,89.667,cool jazz,0
SOMSBGZ12AB018C4CB,Spin,198.73914,34.05349,-118.24532,California - LA,-7.469,The Palest Grey,115.061,gothic metal,2007
SONYRZV12AB018AF70,Burning In The Aftermath,95.68608,42.33168,-83.04792,"Detroit, MI",-2.022,A Match & Some Gasoline,115.887,ska punk,2003
SONQBUB12A6D4F8ED0,Angie (1993 Digital Remaster),271.49016,51.50632,-0.12714,"London, England",-10.358,Jump Back - The Best Of The Rolling Stones_ '71-'93,139.333,blues,0
SOHGKJW12AC468A8BD,Sabor Guajiro,226.66404,37.15735675,-63.93335787,Not available,-12.716,Lo Mejor con La Orq. Broadway,117.271,salsa,0
SOINBCU12A6D4F94C0,Human Cannonball,190.48444,35.91463,-79.05661,"Chapel Hill, NC",-15.663,Grown Man,102.428,modern rock,1995
SOTWVQT12A58A79650,Glory Be,277.78567,34.36401,-89.51877,"Oxford, MS",-6.944,A Bothered Mind,89.984,delta blues,2004
SOTSEJY12AB0180F56,Crossfire,248.78975,32.77815,-96.7954,"Dallas, TX",-7.805,Greatest Hits,116.721,texas blues,1992
SOTSETT12AB01863B8,I Can't Be Satisfied,195.3171,37.15735675,-63.93335787,Not available,-10.7,Bluesman,123.142,blues,2002
SOTUNMH12A6D4FA3E6,Nashville Parthenon,175.72526,37.15735675,-63.93335787,Not available,-10.93,Etiquette,141.919,trip hop,2006
SOEPPKB12AB018418B,Cocain Ducks,217.23383,52.51607,13.37698,"Berlin, Germany",-9.493,Ec8or,95.596,hardcore techno,1995
SOGKIWV12A6D4F86C4,Human Being,344.05832,37.15735675,-63.93335787,"New York, NY",-9.253,Too Much Too Soon,154.953,glam rock,1974
SOPHYIS12AAF3B35A3,The More I See You,251.42812,-23.56287,-46.65466,"Sao Paulo, Brazil",-12.009,Bossa Nova Stories,86.091,brazilian jazz,2009
SOFHBAR12A6701D0FE,Certain Things We Do,269.7922,37.15735675,-63.93335787,"South Jamaica, Queens",-11.043,Love_ Peace & Nappiness,90.218,gangster rap,1997
SOCPRKM12AB018A2FD,Forming,206.05342,34.05349,-118.24532,"Los Angeles, CA",-11.506,Germicide,133.144,rock,1977
SOFGHAM12AB0186412,MafuA!,190.04036,37.15735675,-63.93335787,Not available,-14.179,MafuA!,205.317,brazilian jazz,0
SODHVES12A6701CE6B,Driving Home For Christmas,241.162,37.15735675,-63.93335787,"Middlesbrough, England",-8.531,The Road To Hell Part 2,180.149,soft rock,1986
SOXIATP12AAF3B2184,Spooks In Space,122.64444,37.15735675,-63.93335787,Not available,-8.541,Vanguard Visionaries,102.538,easy listening,1966
SOGNQWU12A8AE4868F,Tous Les GarASSons Et Les Filles,207.0722,51.50632,-0.12714,"London, England",-6.629,Be Yourself Tonight,84.164,dance rock,1985
SOYQOFI12A6D4F76E1,Too Much Saturn,300.79955,54.48303,-3.53444,"Egremont, Cumbria, England",-13.33,Hometown 2001,124.175,singer-songwriter,1995
SOVOLGY12A6D4F822B,Movement 4 [from Kiss] (Album Version),228.46649,37.15735675,-63.93335787,"Garnant, Wales",-12.412,Eat / Kiss: Music For The Films By Andy Warhol,137.004,experimental rock,1997
SOMZCVH12AB0182B8E,Stream,239.59465,37.77916,-122.42005,California - SF,-21.552,The Ultimate Most Relaxing New Age Piano in the Universe,106.33,meditation,0
SONXJBL12AAF3B2C0C,Make Me Over,228.93669,37.15735675,-63.93335787,Not available,-8.686,Classic Gold: Best of All,107.961,ccm,0
SOYWZTU12AB0180E26,Deform (live),165.61587,-37.81753,144.96715,"Melbourne, Australia",-6.222,The Berzerker,174.287,speedcore,2000
SOLGHDZ12AB0183B11,Wicker Chair,187.92444,36.16778,-86.77836,"Nashville, Tennessee",-5.907,Holy Roller Novocaine,116.823,southern rock,2003
SOTNTNJ12AAA15FBD6,An ti chans',276.50567,37.15735675,-63.93335787,Not available,-4.638,Jeux de dames_ vol. 1 (rA(c)alisation Ronald Rubinel),101.972,zouk,0
SOXZXXV12AAF3B3A67,I Will Love Again (JJ's Club Radio),200.25424,37.15735675,-63.93335787,Not available,-5.884,I Will Love Again,127.97,trance,0
SOPIKEG12A58291636,Stickin In My Eye,144.50893,37.15735675,-63.93335787,"Berkeley, CA",-7.787,White Trash ......,152.622,punk,1992
SOIRNBO12AC468D207,Ota kiinni,285.17832,37.15735675,-63.93335787,Not available,-8.488,Murskapunkkia,110.787,suomi rock,0
SOSBDSF12AB0189007,Entre CanAbales,246.69995,37.15735675,-63.93335787,Not available,-9.603,CanciA3n Animal,112.903,rock,1990
SOIJXXM12A8C1416D6,Rosemary Recalls,84.03546,-24.9162,133.39311,AUSTRALIA,-26.266,The Man from Snowy River,115.642,easy listening,1985
SOHMMMC12AB0181C42,Sudanese Dance,273.52771,37.15735675,-63.93335787,Not available,-6.305,One World One People,125.013,gabba,2000
SOVJXVJ12A8C13517D,Where The Thunder Roars (Tales Of Wonder Album Version),298.84036,37.15735675,-63.93335787,Not available,-9.998,Tales Of Wonder,113.277,ccm,0
SOFZCTA12AB0188D8F,Wanna Be A Player,161.38404,18.11526,-77.27348,"Jamaica, West Indies",-9.161,Waterbed Hev,96.979,pop rap,1997
SOLRYQR12A670215BF,Panama (Remastered Album Version),209.29261,37.15735675,-63.93335787,"Pasadena, CA",-4.865,The Best Of Both Worlds,140.995,heavy metal,0
SOCHRXB12A8AE48069,Let's Get It Started,229.61587,37.15735675,-63.93335787,"Los Angeles, CA",-4.882,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,105.206,hip hop,2004
SOKBBXO12A6701DEA0,Metal,426.89261,41.50471,-81.69074,"Cleveland, OH",-12.951,Things Falling Apart,63.017,industrial metal,2000
SOWHYUG12A58A77FAB,She Fell Away (2009 Digital Remaster),269.26975,37.15735675,-63.93335787,Not available,-11.751,Your Funeral... My Trial (2009 Digital Remaster),144.603,rock,0
SOYSTDI12A6D4F6500,Next Time,249.41669,37.15735675,-63.93335787,Not available,-6.693,Oasis of Love,167.92,freestyle,0
SOOOROX12A6D4F8400,It's My Party,136.48934,40.71455,-74.00712,"New York, NY",-9.091,60's Triple set,129.122,brill building pop,1963
SONSPZE12AB01819CE,Complicate It,233.27302,37.15735675,-63.93335787,Not available,-2.658,Yeah.  Well_ Anyway....,132.022,melodic hardcore,2001
SOHWGFU12AB017B036,Monde De Fou,187.24526,37.15735675,-63.93335787,Minnesota,-4.42,Un Titre de Toune,183.92,british pop,2005
SOQQVQJ12AB0185192,Opus a Satana (Part 2),72.61995,64.55653,12.66538,Norway,-11.051,Live Inferno,89.867,heavy metal,0
SODRHHD12AB0189F2A,This Melody (Live),272.63955,46.71067,1.71819,FR,-9.97,Vendredi 13 - 1981,119.896,chanson,0
SOQGFVO12A8C13C8C3,I'm Gone This Time,142.75873,34.03142,-93.50243,"Delight, AR",-11.335,Unconditional Love,137.29,country rock,0
SORABMD12A8C136672,You Feel Good All Over,194.11546,35.82213,-88.91599,"Humboldt, TN",-15.581,The Very Best Of,82.343,country rock,2002
SOTUBVH12AB018D2EC,Indian Love Call,195.91791,27.94653,-82.45927,"Tampa, FL",-11.98,Country Lovers. Vol. 3,91.487,folk-pop,1990
SOMQAGT12A8C132DB4,You Can Still Be Free,118.33424,37.15735675,-63.93335787,CA,-11.215,Affirmation,84.69,easy listening,1999
SOKLLOH12A67020F2C,I Never Came,288.41751,37.15735675,-63.93335787,Not available,-8.165,Lullabies To Paralyze,115.606,stoner metal,2005
SONRLQH12AB017C232,Dixie,123.21914,33.52029,-86.8115,"Birmingham, AL",-12.69,It's War Again,126.523,western swing,0
SODDZAD12A6701DC4C,Commercial Reign,283.76771,53.4796,-2.24881,"Manchester, England",-8.7,The Singles,113.677,indie rock,1990
SORENXV12A6701F61F,Hourglass,239.3073,37.15735675,-63.93335787,Not available,-5.758,What You Thought You Heard,86.938,rap rock,0
SOYMMDY12AB01825B2,Wake,206.75873,37.15735675,-63.93335787,Not available,-4.907,Daddy Don't Disco,141.936,indie rock,0
SOJWQIP12A6D4F710A,Caricia Y Herida,134.81751,37.15735675,-63.93335787,Not available,-8.133,15 Exitos Vol. 2 Flor Silvestre,106.049,ranchera,0
SOOVOKS12AB017EE57,Le tortillard,285.64853,37.15735675,-63.93335787,"BA(c)zu, comme Superdupont, ne connait qu&#039;un pays : la France !",-9.093,"Le top du pA""re NAPel",126.88,chanson,0
SORWHWY12A6702038E,WKYA (drop),124.18567,37.15735675,-63.93335787,"Newark, NJ",-10.296,Malpractice,85.008,hip hop,2001
SOGYYLE12A8C13E5EA,TerA$?slintu,134.08608,37.15735675,-63.93335787,Not available,-12.839,20 Suosikkia / Rilluttele yAP,133.699,german pop,0
SOITUXQ12AB0183AE9,Now's The Time To Fall In Love,155.61098,40.71455,-74.00712,"New York, NY",-13.71,The Fabulous Eddie Cantor,118.975,easy listening,0
SOTWEZZ12A8C142B60,Grim Prospects (Gross Prospects - Bad Trip Remix),275.40853,37.15735675,-63.93335787,Not available,-2.119,Grim Prospects Remixes - Grim Prospects Will Never End,102.408,breakcore,0
SOUVRGZ12A58A77F90,Mangos,223.4771,56.153,10.20452,"Aarhus, Denmark",-14.438,The Incredible Kai Winding Trombones,112.006,hard bop,1961
SOBLTSM12A6D4F9EEA,A Distant Voice,443.24526,31.84666,-91.657,"Sicily Island, LA",-13.002,Staying on the Watch,45.527,free jazz,0
SOUQVUD12A8C142DCE,Openbare Weg,177.81506,37.15735675,-63.93335787,"Tallahassee, FL",-12.004,Openbare Weg,85.621,shoegaze,2006
SOCRPDR12AB0185B75,President Johnson,385.33179,37.15735675,-63.93335787,Not available,-8.37,Tip World Singles 2000,108.061,chill-out,2000
SOXVBVL12AF72A600C,Lead Me Lord,324.44036,37.15735675,-63.93335787,Not available,-11.829,Praise Him...Live!,216.195,gospel,1995
SOIQHDR12AB01896C8,Spontanous Combustion,275.12118,36.16778,-86.77836,"Nashville, TN",-6.29,Spontanous Combustion,132.428,blues-rock,0
SODLSHA12AAF3B29F2,Choro,294.66077,37.77916,-122.42005,"San Francisco, CA",-15.761,From All Sides,168.307,latin jazz,0
SOAGHMH12AB0180285,Ma Louise,193.20118,37.15735675,-63.93335787,"Menilmontant, France",-27.433,Maurice Chevalier  The Essential Collection Vol 1,140.956,chanson,0
SORAVUP12AB018556E,I Want You (Forever),357.82485,37.15735675,-63.93335787,Not available,-5.701,Dave Pearce Best of the Dance Years 1988 - 1992,130.016,tech house,1991
SOFXNQP12AB0184F1A,Hate,198.3473,37.15735675,-63.93335787,"SPRINGFIELD, Virginia",-8.709,The Equinox,175.769,hip hop,1997
SOGQTRZ12A8C13C8B0,I Can't Stop Loving You,261.95546,37.15735675,-63.93335787,"Medicine Lodge, KS",-13.627,Timeless,100.194,country,2005
SOBHVZQ12AC9618285,Thank You Lord,176.27383,18.01571,-76.79731,"Kingston, Jamaica",-11.479,Feel Good All Over: Anthology 1970-1976,151.911,roots reggae,1985
SOYPBCY12AB0181EF3,How Can You Call That Beautiful (Stewkey Vocal),220.89098,37.15735675,-63.93335787,Not available,-6.302,13th And Pine,119.691,freakbeat,0
SOWRLSY12AC4687694,Cheatin' In The Next Room,235.91138,33.39847,-91.03786,"Greenville, MS",-10.466,Call Tyrone,161.976,chicago soul,0
SOOGQWR12A8C142505,Candy Man,239.59465,37.77916,-122.42005,"San Francisco, CA",-9.275,Final Vinyl,172.398,blues-rock,1971
SOJDYQY12AB0188C97,I See The Boys Of Summer,171.49342,40.99471,-77.60454,Pennsylvania,-37.398,Fifteen Poems By Dylan Thomas,109.823,jazz fusion,0
SOBHQUF12AB018B03E,Three Is a Crowd,266.05669,40.71455,-74.00712,"New York, NY",-13.836,The Early Tapes 1975-1976,90.101,delta blues,0
SOFRAZJ12A8C143CDB,On Bended Knee,329.27302,37.15735675,-63.93335787,"Philadelphia, PA",-7.103,Legacy,116.473,new jack swing,1994
SONNDHT12A8C13F20B,My Four Reasons,198.922,35.4948,-85.01235,"Dayton, TN",-13.495,Louie Bluie Film Soundtrack,126.821,piedmont blues,0
SOYZOXW12A8C13E195,Little Girl (LP Version),283.21914,41.88415,-87.63241,"Chicago, IL",-15.144,Donny Hathaway,111.191,jazz funk,1971
SOSGJTX12AB0181F7C,Eternamente Amame,238.68036,37.15735675,-63.93335787,Not available,-12.991,Canciones De Amor De Miguel Gallardo,125.508,male vocalist,0
SOBQBWP12AB018611B,Niev nietch nievitch,254.06649,37.15735675,-63.93335787,Not available,-6.01,Irfan_ le hA(c)ros,137.888,chanson,1999
SODULLV12AB017FA09,Come Over,184.31955,37.15735675,-63.93335787,Not available,-5.58,What up Detroit,150.012,ghetto tech,0
SOYAGJM12A8C13DCCE,Blue Taxi,311.40526,38.8991,-77.029,Washington DC,-4.313,Peterbilt Angel,108.367,dance pop,0
SORXUZZ12A8AE4798A,I Want Love (Tween You & Me) (Album Version),162.53342,32.77942,-91.56123,"Goodwill, LA",-17.285,Homemade Ice-Cream,173.482,country rock,0
SOCHXAE12AF72A25D6,White Feather,212.37506,37.15735675,-63.93335787,"Sydney, Australia",-5.931,White Feather,110.745,stoner metal,2009
SOCRHCQ12A58A7C8C6,Christlike Roche,338.33751,37.15735675,-63.93335787,New York City,-14.248,Can We Go Home Now,130.027,singer-songwriter,1995
SOSEJIQ12AB017E7EB,You Rascal You,126.51057,42.31256,-71.08868,"Boston, MA",-12.651,In North Carolina,110.168,blues-rock,0
SOMXWXQ12AC3DFA002,Sympathy,205.58322,37.15735675,-63.93335787,Not available,-16.056,Wintertime,97.976,guitar,0
SOGMXBW12A6D4FB8D7,They Say (Album),193.4624,37.15735675,-63.93335787,Not available,-5.913,Electropop,119.979,pop rap,2007
SOOPUTF12AB018DFAA,Simon's Folly,127.4771,37.15735675,-63.93335787,Not available,-5.541,DUMB: 4-track cassette recordings (1987),156.968,progressive house,0
SOFDTRZ12AB018DD11,Crawl Before You Ball (Album Version),234.762,37.15735675,-63.93335787,Not available,-6.019,The Hit List,188.886,hip hop,1999
SOOGNJP12A8C1381AD,Medicate Myself,292.8322,42.73383,-84.59334,"Lansing, MI",-4.953,Underneath,133.306,post-grunge,2001
SOFUBCP12A8C13D5EF,Biding Her Time,241.10975,40.71455,-74.00712,New York,-18.114,99 Monkeys,152.267,singer-songwriter,1990
SOVZBDR12A6702012E,More And More  (LP Version),270.68036,42.99671,-85.59012,"Grand Rapids, MI",-11.061,Nothing Else Matters,166.275,gospel,0
SOPWKSS12AC468E659,Cowboy Ways,188.73424,30.2676,-97.74298,Austin,-7.04,A Tribute to The American Horse,114.971,blue-eyed soul,0
SOCCQIQ12A8C13C76B,Brasas Vivas,211.80036,37.15735675,-63.93335787," UbA!, Minas Gerais",-15.358,Mis Momentos,144.651,latin jazz,0
SODBMZD12A8C134232,Kolomeyke,254.32771,37.15735675,-63.93335787,Not available,-11.213,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,152.005,vocal house,0
SOBUWPY12A8C1446C0,In This Life,210.36363,37.15735675,-63.93335787,Not available,-5.904,In this Life,155.074,los angeles,2009
SORWXUP12A58A79E65,Groovin' In The Midnight,301.81832,54.31392,-2.23218,Great Britain / UK,-8.095,Best Of Maxi Priest,61.971,lovers rock,1991
SOJEVZW12A8C133988,Waiting,416.80934,37.15735675,-63.93335787,Not available,-7.982,Signify (Special Edition),124.04,experimental rock,1997
SOOODKC12AB018462F,A'chek Ouyounik (2009 Digital Remaster),413.36118,37.15735675,-63.93335787,Not available,-8.804,Bravo Alayki Rare recording,191.196,arabesque,0
SODOLVO12B0B80B2F4,Hell,117.002,37.15735675,-63.93335787,"Seattle, WA",-5.699,In Your Honor,152.127,grunge,2005
SOEHWGF12A6D4F8B2B,Hips Don't Lie (featuring Wyclef Jean),217.36444,37.15735675,-63.93335787,"Barranquilla, Colombia",-5.152,Essential R&B Hit Selection,100.023,dance pop,0
SOOZLTC12A6D4FBE91,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),122.72281,37.15735675,-63.93335787,California - SF,-9.965,20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,192.688,rock,0
SOOSYMY12AB01888CD,I Got Over It (Album Version),203.98975,39.15093,-123.2079,"Ukiah, CA",-11.976,Talk To Your Daughter,154.322,blues-rock,1988
SOPBKEB12A6D4FD777,One Less Bell To Answer,192.44363,37.15735675,-63.93335787,Not available,-10.229,American Songbook - Bacharach,236.006,bossa nova,0
SOEWQYW12AB0183FDE,Festa,285.36118,52.1082,5.32986,Netherlands,-6.284,Nha VitA3ria,150.666,zouk,0
SOFBQIA12AB0182219,Te Hacen Falta Vitaminas,225.12281,37.15735675,-63.93335787,Not available,-3.818,Gira Me VerA!s Volver,175.421,rock,1984
SOHDDHR12AB0183552,Sense And Trick,123.66322,37.15735675,-63.93335787,Not available,-4.633,Scarcity,104.153,thrash core,0
SONWQQX12AC3DF6762,Fire (Oscar G Space Vocal Mix),525.16526,35.30914,-98.52102,Oklahoma,-5.602,Fire,127.278,folk-pop,0
SOGXFIF12A58A78CC4,Hanging On (Medium Key Performance Track Without Background Vocals),204.06812,35.66693,-80.46935, NC,-5.157,Hanging On (Premiere Performance Plus Track),160.165,ccm,0
SOIPNSZ12A8C144128,Grim Prospects (Version 2 Remix),166.00771,37.15735675,-63.93335787,Not available,-1.925,Grim Prospects Remixes - Prospects Are Getting Grimmer,86.091,breakcore,0
SOEXSIN12A8C133B0A,Christmas In Jamaica,219.01016,37.15735675,-63.93335787,"Severn, MD",-5.21,Snowflakes,149.94,dance pop,2001
SOTSMNJ12AB018365E,Gossippo Perpetuo,127.9473,37.15735675,-63.93335787,Not available,-12.717,The Out Sound From Way In!,135.78,easy listening,2001
SOLGRUN12A8C140543,2190 Dias Contigo,570.90567,37.15735675,-63.93335787,Not available,-12.28,El Fuego De Dentro,122.967,tech house,0
SOQCHGV12AC4688FC6,No Control,230.00771,37.15735675,-63.93335787,Not available,-9.748,No Control,142.024,frevo,0
SOXCWTT12AC9075756,The Vitalized Shell,240.74404,50.45663,4.87137,"Belgica -- Namur, Namur/Ghent, East Flanders",-4.878,Pentagrammaton,135.535,black metal,2010
SOAFIPD12A8C13A261,Mozart,192.20853,37.77916,-122.42005,California - SF,-23.988,Pianissimo,139.189,meditation,1989
SOMJPML12A8C13D74E,Ciao Milan,152.0322,37.15735675,-63.93335787,Not available,-9.414,Milan Milan,128.598,serialism,0
SOCVDYI12AC4687DDB,Lend Me Your Chopper,215.30077,37.15735675,-63.93335787,Not available,-9.741,Auralux Reggae Showcase,163.445,roots reggae,2004
SOEVGMZ12A8C1421B5,Letter To Heaven,155.21914,37.15735675,-63.93335787,"Locust Ridge, TN",-11.965,Heaven,114.027,bluegrass,1971
SOCGURJ12AB0182AEE,Heaven is Where The Heart Is,207.12444,42.33168,-83.04792,"Detroit, MI",-12.779,Up Above My Head,111.316,jazz funk,0
SOHTWLT12A8C13CFE1,Inside Job,428.56444,47.60356,-122.32944,"Seattle, WA",-8.403,Pearl Jam,105.994,grunge,2006
SOVQZYP12A8C144692,Take A Look  (LP Version),185.7824,37.15735675,-63.93335787,"Los Angeles, CA",-13.251,Take A Look,88.489,vocal jazz,0
SOHHANU12A58A77C66,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),654.28853,37.15735675,-63.93335787,"Atlanta, GA",-5.884,Crack The Skye,118.433,alternative metal,2009
SOTHWPG12AB018C90E,Bulgarian Dream,306.72934,36.69094,-6.13487,Jerez De La Frontera (CA!diz),-6.929,Behind The Blue,96.007,flamenco,0
SOOQHNV12AB0186CD4,Amalgama,229.51138,37.15735675,-63.93335787,Not available,-4.198,Matumago X Press,187.807,blues-rock,0
SOSGXRU12AAF3B2B07,Born and Raised In Compton,205.58322,37.15735675,-63.93335787,Compton CA,-6.998,The Best of DJ Quik - Da Finale,181.115,gangster rap,1991
SOFRUDU12A8C13A40C,We're Gonna Go Fishin',127.05914,37.15735675,-63.93335787,"McLellan, FL",-12.772,RCA Country Legends,148.357,honky tonk,0
SONXLQQ12AB0184B54,Robbers Kill Cop,44.35546,34.23294,-102.4102,Earth,-18.147,LOOK (Original Motion Picture Soundtrack),136.164,electronica,0
SOKPHVH12AB0187460,Relax,203.83302,37.15735675,-63.93335787,Not available,-7.661,Relax,126.941,vocal house,2009
SOIUGDX12A6D4FDECA,Sweet By And By,176.50893,37.20897,-93.29156,"Springfield, MO",-17.308,Joy In Our Hearts - The Gospel Side Of The Jordanaires,159.582,country gospel,0
SOAYYDM12AB01817E6,Orgofart,140.66893,37.15735675,-63.93335787,"Los Angeles, CA",-28.347,Enjoy!,89.495,hardcore punk,1986
SORAJXA12A58A7A4C9,Bitch Is Back,201.09016,29.78772,-95.82333,katy,-2.869,A Nite On The Strip - Live,102.259,heavy metal,1988
SODJUNF12A8C13337F,Naked Albino,254.79791,37.15735675,-63.93335787,Not available,-7.309,Boo-Tay,107.529,post-grunge,1998
SOVDDWO12A6D4F9A78,Johnny Loves Me (LP Version),143.0722,34.01156,-118.49229,"Santa Monica, CA",-15.351,The Best Of Shelley Fabares [Digital Version],99.408,brill building pop,0
SOFGQAP12AB0185946,Dearly Beloved,163.49995,52.88356,-1.97406,England,-25.694,In London_ In Love,79.731,easy listening,0
SORGLCR12AB0184B69,The Look Of Love,289.64526,37.15735675,-63.93335787,Not available,-9.435,Of My Times,188.502,tejano,0
SOLBIIE12AB0184DFC,Cooler Than You,124.15955,38.43773,-122.71242,"Santa Rosa, California",-4.793,Venus Envy,133.729,pop rock,1998
SORHOEV12A81C20F71,Taryns Deepest Fear,167.3922,40.14323,-74.72671,New Jersey,-17.623,Freddy's Favorites: The Best of A Nightmare On Elm Street,139.136,chill-out,0
